id,Name,Code
10k,10k,e951
10mp,10mp,e952
11mp,11mp,e953
12mp,12mp,e954
13mp,13mp,e955
14mp,14mp,e956
15mp,15mp,e957
16mp,16mp,e958
17mp,17mp,e959
18mp,18mp,e95a
19mp,19mp,e95b
1k,1k,e95c
1k_plus,1k Plus,e95d
20mp,20mp,e95e
21mp,21mp,e95f
22mp,22mp,e960
23mp,23mp,e961
24mp,24mp,e962
2k,2k,e963
2k_plus,2k Plus,e964
2mp,2mp,e965
360,360,e577
3d_rotation,3d Rotation,e84d
3k,3k,e966
3k_plus,3k Plus,e967
3mp,3mp,e968
4k,4k,e072
4k_plus,4k Plus,e969
4mp,4mp,e96a
5g,5g,ef38
5k,5k,e96b
5k_plus,5k Plus,e96c
5mp,5mp,e96d
6_ft_apart,6 Ft Apart,f21e
6k,6k,e96e
6k_plus,6k Plus,e96f
6mp,6mp,e970
7k,7k,e971
7k_plus,7k Plus,e972
7mp,7mp,e973
8k,8k,e974
8k_plus,8k Plus,e975
8mp,8mp,e976
9k,9k,e977
9k_plus,9k Plus,e978
9mp,9mp,e979
ac_unit,Ac Unit,eb3b
access_alarm,Access Alarm,e190
access_alarms,Access Alarms,e191
access_time,Access Time,e192
accessibility,Accessibility,e84e
accessibility_new,Accessibility New,e92c
accessible,Accessible,e914
accessible_forward,Accessible Forward,e934
account_balance,Account Balance,e84f
account_balance_wallet,Account Balance Wallet,e850
account_box,Account Box,e851
account_circle,Account Circle,e853
account_tree,Account Tree,e97a
ad_units,Ad Units,ef39
adb,Adb,e60e
add,Add,e145
add_a_photo,Add a Photo,e439
add_alarm,Add Alarm,e193
add_alert,Add Alert,e003
add_box,Add Box,e146
add_business,Add Business,e729
add_call,Add Call,e0e8
add_chart,Add Chart,e97b
add_circle,Add Circle,e147
add_circle_outline,Add Circle Outline,e148
add_comment,Add Comment,e266
add_ic_call,Add Ic Call,e97c
add_link,Add Link,e178
add_location,Add Location,e567
add_location_alt,Add Location Alt,ef3a
add_moderator,Add Moderator,e97d
add_photo_alternate,Add Photo Alternate,e43e
add_road,Add Road,ef3b
add_shopping_cart,Add Shopping Cart,e854
add_task,Add Task,f23a
add_to_drive,Add to Drive,e65c
add_to_home_screen,Add to Home Screen,e1fe
add_to_photos,Add to Photos,e39d
add_to_queue,Add to Queue,e05c
addchart,Addchart,ef3c
adjust,Adjust,e39e
admin_panel_settings,Admin Panel Settings,ef3d
agriculture,Agriculture,ea79
airline_seat_flat,Airline Seat Flat,e630
airline_seat_flat_angled,Airline Seat Flat Angled,e631
airline_seat_individual_suite,Airline Seat Individual Suite,e632
airline_seat_legroom_extra,Airline Seat Legroom Extra,e633
airline_seat_legroom_normal,Airline Seat Legroom Normal,e634
airline_seat_legroom_reduced,Airline Seat Legroom Reduced,e635
airline_seat_recline_extra,Airline Seat Recline Extra,e636
airline_seat_recline_normal,Airline Seat Recline Normal,e637
airplanemode_active,Airplanemode Active,e195
airplanemode_inactive,Airplanemode Inactive,e194
airplanemode_off,Airplanemode Off,e194
airplanemode_on,Airplanemode on,e195
airplay,Airplay,e055
airport_shuttle,Airport Shuttle,eb3c
alarm,Alarm,e855
alarm_add,Alarm Add,e856
alarm_off,Alarm Off,e857
alarm_on,Alarm on,e858
album,Album,e019
align_horizontal_center,Align Horizontal Center,e00f
align_horizontal_left,Align Horizontal Left,e00d
align_horizontal_right,Align Horizontal Right,e010
align_vertical_bottom,Align Vertical Bottom,e015
align_vertical_center,Align Vertical Center,e011
align_vertical_top,Align Vertical Top,e00c
all_inbox,All Inbox,e97f
all_inclusive,All Inclusive,eb3d
all_out,All Out,e90b
alt_route,Alt Route,f184
alternate_email,Alternate Email,e0e6
amp_stories,Amp Stories,ea13
analytics,Analytics,ef3e
anchor,Anchor,f1cd
android,Android,e859
animation,Animation,e71c
announcement,Announcement,e85a
apartment,Apartment,ea40
api,Api,f1b7
app_blocking,App Blocking,ef3f
app_registration,App Registration,ef40
app_settings_alt,App Settings Alt,ef41
approval,Approval,e982
apps,Apps,e5c3
architecture,Architecture,ea3b
archive,Archive,e149
arrow_back,Arrow Back,e5c4
arrow_back_ios,Arrow Back Ios,e5e0
arrow_circle_down,Arrow Circle Down,f181
arrow_circle_up,Arrow Circle Up,f182
arrow_downward,Arrow Downward,e5db
arrow_drop_down,Arrow Drop Down,e5c5
arrow_drop_down_circle,Arrow Drop Down Circle,e5c6
arrow_drop_up,Arrow Drop Up,e5c7
arrow_forward,Arrow Forward,e5c8
arrow_forward_ios,Arrow Forward Ios,e5e1
arrow_left,Arrow Left,e5de
arrow_right,Arrow Right,e5df
arrow_right_alt,Arrow Right Alt,e941
arrow_upward,Arrow Upward,e5d8
art_track,Art Track,e060
article,Article,ef42
aspect_ratio,Aspect Ratio,e85b
assessment,Assessment,e85c
assignment,Assignment,e85d
assignment_ind,Assignment Ind,e85e
assignment_late,Assignment Late,e85f
assignment_return,Assignment Return,e860
assignment_returned,Assignment Returned,e861
assignment_turned_in,Assignment Turned in,e862
assistant,Assistant,e39f
assistant_direction,Assistant Direction,e988
assistant_navigation,Assistant Navigation,e989
assistant_photo,Assistant Photo,e3a0
atm,Atm,e573
attach_email,Attach Email,ea5e
attach_file,Attach File,e226
attach_money,Attach Money,e227
attachment,Attachment,e2bc
attractions,Attractions,ea52
audiotrack,Audiotrack,e3a1
auto_awesome,Auto Awesome,e65f
auto_awesome_mosaic,Auto Awesome Mosaic,e660
auto_awesome_motion,Auto Awesome Motion,e661
auto_delete,Auto Delete,ea4c
auto_fix_high,Auto Fix High,e663
auto_fix_normal,Auto Fix Normal,e664
auto_fix_off,Auto Fix Off,e665
auto_stories,Auto Stories,e666
autorenew,Autorenew,e863
av_timer,Av Timer,e01b
baby_changing_station,Baby Changing Station,f19b
backpack,Backpack,f19c
backspace,Backspace,e14a
backup,Backup,e864
backup_table,Backup Table,ef43
badge,Badge,ea67
bakery_dining,Bakery Dining,ea53
ballot,Ballot,e172
bar_chart,Bar Chart,e26b
batch_prediction,Batch Prediction,f0f5
bathtub,Bathtub,ea41
battery_alert,Battery Alert,e19c
battery_charging_full,Battery Charging Full,e1a3
battery_full,Battery Full,e1a4
battery_std,Battery Std,e1a5
battery_unknown,Battery Unknown,e1a6
beach_access,Beach Access,eb3e
bedtime,Bedtime,ef44
beenhere,Beenhere,e52d
bento,Bento,f1f4
bike_scooter,Bike Scooter,ef45
biotech,Biotech,ea3a
block,Block,e14b
block_flipped,Block Flipped,ef46
bluetooth,Bluetooth,e1a7
bluetooth_audio,Bluetooth Audio,e60f
bluetooth_connected,Bluetooth Connected,e1a8
bluetooth_disabled,Bluetooth Disabled,e1a9
bluetooth_searching,Bluetooth Searching,e1aa
blur_circular,Blur Circular,e3a2
blur_linear,Blur Linear,e3a3
blur_off,Blur Off,e3a4
blur_on,Blur on,e3a5
bolt,Bolt,ea0b
book,Book,e865
book_online,Book Online,f217
bookmark,Bookmark,e866
bookmark_border,Bookmark Border,e867
bookmark_outline,Bookmark Outline,e867
bookmarks,Bookmarks,e98b
border_all,Border All,e228
border_bottom,Border Bottom,e229
border_clear,Border Clear,e22a
border_color,Border Color,e22b
border_horizontal,Border Horizontal,e22c
border_inner,Border Inner,e22d
border_left,Border Left,e22e
border_outer,Border Outer,e22f
border_right,Border Right,e230
border_style,Border Style,e231
border_top,Border Top,e232
border_vertical,Border Vertical,e233
branding_watermark,Branding Watermark,e06b
breakfast_dining,Breakfast Dining,ea54
brightness_1,Brightness 1,e3a6
brightness_2,Brightness 2,e3a7
brightness_3,Brightness 3,e3a8
brightness_4,Brightness 4,e3a9
brightness_5,Brightness 5,e3aa
brightness_6,Brightness 6,e3ab
brightness_7,Brightness 7,e3ac
brightness_auto,Brightness Auto,e1ab
brightness_high,Brightness High,e1ac
brightness_low,Brightness Low,e1ad
brightness_medium,Brightness Medium,e1ae
broken_image,Broken Image,e3ad
browser_not_supported,Browser Not Supported,ef47
brunch_dining,Brunch Dining,ea73
brush,Brush,e3ae
bubble_chart,Bubble Chart,e6dd
bug_report,Bug Report,e868
build,Build,e869
build_circle,Build Circle,ef48
burst_mode,Burst Mode,e43c
bus_alert,Bus Alert,e98f
business,Business,e0af
business_center,Business Center,eb3f
cached,Cached,e86a
cake,Cake,e7e9
calculate,Calculate,ea5f
calendar_today,Calendar Today,e935
calendar_view_day,Calendar View Day,e936
call,Call,e0b0
call_end,Call End,e0b1
call_made,Call Made,e0b2
call_merge,Call Merge,e0b3
call_missed,Call Missed,e0b4
call_missed_outgoing,Call Missed Outgoing,e0e4
call_received,Call Received,e0b5
call_split,Call Split,e0b6
call_to_action,Call to Action,e06c
camera,Camera,e3af
camera_alt,Camera Alt,e3b0
camera_enhance,Camera Enhance,e8fc
camera_front,Camera Front,e3b1
camera_rear,Camera Rear,e3b2
camera_roll,Camera Roll,e3b3
campaign,Campaign,ef49
cancel,Cancel,e5c9
cancel_presentation,Cancel Presentation,e0e9
cancel_schedule_send,Cancel Schedule Send,ea39
car_rental,Car Rental,ea55
car_repair,Car Repair,ea56
card_giftcard,Card Giftcard,e8f6
card_membership,Card Membership,e8f7
card_travel,Card Travel,e8f8
carpenter,Carpenter,f1f8
cases,Cases,e992
casino,Casino,eb40
cast,Cast,e307
cast_connected,Cast Connected,e308
cast_for_education,Cast for Education,efec
category,Category,e574
celebration,Celebration,ea65
cell_wifi,Cell Wifi,e0ec
center_focus_strong,Center Focus Strong,e3b4
center_focus_weak,Center Focus Weak,e3b5
change_history,Change History,e86b
charging_station,Charging Station,f19d
chat,Chat,e0b7
chat_bubble,Chat Bubble,e0ca
chat_bubble_outline,Chat Bubble Outline,e0cb
check,Check,e5ca
check_box,Check Box,e834
check_box_outline_blank,Check Box Outline Blank,e835
check_circle,Check Circle,e86c
check_circle_outline,Check Circle Outline,e92d
checkroom,Checkroom,f19e
chevron_left,Chevron Left,e5cb
chevron_right,Chevron Right,e5cc
child_care,Child Care,eb41
child_friendly,Child Friendly,eb42
chrome_reader_mode,Chrome Reader Mode,e86d
circle,Circle,ef4a
circle_notifications,Circle Notifications,e994
class,Class,e86e
clean_hands,Clean Hands,f21f
cleaning_services,Cleaning Services,f0ff
clear,Clear,e14c
clear_all,Clear All,e0b8
close,Close,e5cd
close_fullscreen,Close Fullscreen,f1cf
closed_caption,Closed Caption,e01c
closed_caption_disabled,Closed Caption Disabled,f1dc
closed_caption_off,Closed Caption Off,e996
cloud,Cloud,e2bd
cloud_circle,Cloud Circle,e2be
cloud_done,Cloud Done,e2bf
cloud_download,Cloud Download,e2c0
cloud_off,Cloud Off,e2c1
cloud_queue,Cloud Queue,e2c2
cloud_upload,Cloud Upload,e2c3
code,Code,e86f
collections,Collections,e3b6
collections_bookmark,Collections Bookmark,e431
color_lens,Color Lens,e3b7
colorize,Colorize,e3b8
comment,Comment,e0b9
comment_bank,Comment Bank,ea4e
commute,Commute,e940
compare,Compare,e3b9
compare_arrows,Compare Arrows,e915
compass_calibration,Compass Calibration,e57c
compress,Compress,e94d
computer,Computer,e30a
confirmation_num,Confirmation Num,e638
confirmation_number,Confirmation Number,e638
connect_without_contact,Connect Without Contact,f223
connected_tv,Connected Tv,e998
